return_level,return_periods,year,y,lon,lat,type
13.2641260597402,2,1980,12,11.3759,59.1231,bgev_year
18.7395604104388,5,1980,12,11.3759,59.1231,bgev_year
22.7498021783511,10,1980,12,11.3759,59.1231,bgev_year
28.3021801496965,25,1980,12,11.3759,59.1231,bgev_year
32.8028668661603,50,1980,12,11.3759,59.1231,bgev_year
37.6199728158063,100,1980,12,11.3759,59.1231,bgev_year
42.7929995722003,200,1980,12,11.3759,59.1231,bgev_year
12.0831561099491,2,1980,12,11.3759,59.1231,bgev_base
17.5015328148969,5,1980,12,11.3759,59.1231,bgev_base
21.3954547859525,10,1980,12,11.3759,59.1231,bgev_base
26.6945424264518,25,1980,12,11.3759,59.1231,bgev_base
30.9189508421996,50,1980,12,11.3759,59.1231,bgev_base
35.3766356082082,100,1980,12,11.3759,59.1231,bgev_base
40.0965888959296,200,1980,12,11.3759,59.1231,bgev_base
10.1396191538899,2,1980,12,11.3759,59.1231,gev
14.5129701369637,5,1980,12,11.3759,59.1231,gev
18.2579891117507,10,1980,12,11.3759,59.1231,gev
24.2437782609931,25,1980,12,11.3759,59.1231,gev
29.8118338890026,50,1980,12,11.3759,59.1231,gev
36.5158689827721,100,1980,12,11.3759,59.1231,gev
44.6094742231092,200,1980,12,11.3759,59.1231,gev
12.5316314896641,2,1981,9.2,11.3759,59.1231,bgev_year
17.9468517660836,5,1981,9.2,11.3759,59.1231,bgev_year
21.7905061821025,10,1981,9.2,11.3759,59.1231,bgev_year
26.9625269852459,25,1981,9.2,11.3759,59.1231,bgev_year
31.0409378195222,50,1981,9.2,11.3759,59.1231,bgev_year
35.304806664433,100,1981,9.2,11.3759,59.1231,bgev_year
39.7780622794289,200,1981,9.2,11.3759,59.1231,bgev_year
12.136308391815,2,1981,9.2,11.3759,59.1231,bgev_base
17.5368337961696,5,1981,9.2,11.3759,59.1231,bgev_base
21.4094281162769,10,1981,9.2,11.3759,59.1231,bgev_base
26.6689980914981,25,1981,9.2,11.3759,59.1231,bgev_base
30.8538365893842,50,1981,9.2,11.3759,59.1231,bgev_base
35.262530528741,100,1981,9.2,11.3759,59.1231,bgev_base
39.9230035498597,200,1981,9.2,11.3759,59.1231,bgev_base
10.504545853517,2,1981,9.2,11.3759,59.1231,gev
14.8551661293447,5,1981,9.2,11.3759,59.1231,gev
18.2997148037887,10,1981,9.2,11.3759,59.1231,gev
23.4211043192592,25,1981,9.2,11.3759,59.1231,gev
27.8668887814996,50,1981,9.2,11.3759,59.1231,gev
32.9119203365355,100,1981,9.2,11.3759,59.1231,gev
38.6542987624396,200,1981,9.2,11.3759,59.1231,gev
10.9325708693334,2,1982,14.4,11.3759,59.1231,bgev_year
16.2000403054958,5,1982,14.4,11.3759,59.1231,bgev_year
19.9371600161419,10,1982,14.4,11.3759,59.1231,bgev_year
24.9637964004516,25,1982,14.4,11.3759,59.1231,bgev_year
28.9260155615087,50,1982,14.4,11.3759,59.1231,bgev_year
33.067031762183,100,1982,14.4,11.3759,59.1231,bgev_year
37.4099651776223,200,1982,14.4,11.3759,59.1231,bgev_year
11.8460334022913,2,1982,14.4,11.3759,59.1231,bgev_base
17.283779659087,5,1982,14.4,11.3759,59.1231,bgev_base
21.2085221721449,10,1982,14.4,11.3759,59.1231,bgev_base
26.5705570381592,25,1982,14.4,11.3759,59.1231,bgev_base
30.8613833175577,50,1982,14.4,11.3759,59.1231,bgev_base
